school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address
Jambutu Wisdom Academy,AD,Secondary,Private,,,9.2871618,12.4210085,ADSYLN05,"Jambutu Wisdom Academy, AD State, Nigeria"
Federal Government College Staff Nursery and Primary School,AD,Primary,Private,,,8.461726,12.053775,ADSGAN04,"Federal Government College Staff Nursery and Primary School, AD State, Nigeria"
Mundra Models High School,AD,Secondary,Private,,,10.279736,13.284263,ADSMUB05,"Mundra Models High School, AD State, Nigeria"
Global City Academy,AD,Primary,Private,,,10.264252,13.259822,ADSGYL06,"Global City Academy, AD State, Nigeria"
Solid Step Foundation Nursery and Primary School,AD,Primary,Private,,,10.311223,13.155081,ADSHNG09,"Solid Step Foundation Nursery and Primary School, AD State, Nigeria"
Echo Academy,AD,Secondary,Private,,,10.264733,13.250884,ADSGYL06,"Echo Academy, AD State, Nigeria"
Kanzul Islamic Nursery and Primary School,AD,Primary,Private,,,9.199367,12.485384,ADSYLA10,"Kanzul Islamic Nursery and Primary School, AD State, Nigeria"
Buzza Nursery School,AD,Primary,Private,,,10.1763589,12.8162235,ADSHNG11,"Buzza Nursery School, AD State, Nigeria"
Heritage Academy Nursery and Primary School Jamkise,AD,Primary,Private,,,9.9965324,11.8988939,ADSGUY02,"Heritage Academy Nursery and Primary School Jamkise, AD State, Nigeria"
Frontier International,AD,Primary,Private,,,10.118958,12.699814,ADSGMB09,"Frontier International, AD State, Nigeria"
Mayos Modern College,AD,Secondary,Private,,,9.04412,12.062171,ADSMWA08,"Mayos Modern College, AD State, Nigeria"
Lutheran Primary School,AD,Primary,Private,,,9.906704,11.927462,ADSGUY07,"Lutheran Primary School, AD State, Nigeria"
Firstghana Experimental School,AD,Mixed,Private,,,9.336926,12.501602,ADSGRE04,"Firstghana Experimental School, AD State, Nigeria"
Ibrahim Attah Memorial School,AD,Primary,Private,,,9.282318,12.46055,ADSYLN07,"Ibrahim Attah Memorial School, AD State, Nigeria"
Ambassador Dahiru A Waziri Nursry and Primary School,AD,Primary,Private,,,9.2120741,12.4778817,ADSYLA05,"Ambassador Dahiru A Waziri Nursry and Primary School, AD State, Nigeria"
Model Islamiya Primary School,AD,Primary,Private,,,8.757033,12.15144,ADSJAD02,"Model Islamiya Primary School, AD State, Nigeria"
St Patrick Primary,AD,Primary,Private,,,9.471747,12.03841,ADSDSA10,"St Patrick Primary, AD State, Nigeria"
Hozzycal Nursery and Primary School,AD,Primary,Private,,,9.535305,11.610129,ADSLMR09,"Hozzycal Nursery and Primary School, AD State, Nigeria"
Victory Nursery and Primary School,AD,Primary,Private,,,9.608746,11.79075,ADSLMR04,"Victory Nursery and Primary School, AD State, Nigeria"
Lady of Mount Carmel,AD,Primary,Private,,,10.738622,13.409614,ADSMDG02,"Lady of Mount Carmel, AD State, Nigeria"
Agape Nursery and Primary School Michika,AD,Primary,Private,,,10.632503,13.391513,ADSMCH07,"Agape Nursery and Primary School Michika, AD State, Nigeria"
Precious Child Nursery and Primary School,AD,Primary,Private,,,9.426101,12.138007,ADSDSA03,"Precious Child Nursery and Primary School, AD State, Nigeria"
Al Iman Islamiya Nursery School,AD,Primary,Private,,,10.229088,12.922185,ADSHNG06,"Al Iman Islamiya Nursery School, AD State, Nigeria"
Colonel Isa Ahmad Memorial Primary School,AD,Primary,Private,,,9.261922,12.45879,ADSYLN01,"Colonel Isa Ahmad Memorial Primary School, AD State, Nigeria"
