id,relid,year,active_year,code_status,type_of_violence,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,deaths
42047,NIG-2011-1-793-3,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,2
42048,NIG-2011-1-793-4,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42049,NIG-2011-1-793-5,2011,TRUE,Clear,1,Biu town,"Biu, 200 kilometres (125 miles) south of Maiduguri",Borno state,Biu lga,10.61285,12.19458,145105,Nigeria,NGA,475,Africa,1,1,1
42050,NIG-2011-1-793-6,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42051,NIG-2011-1-793-7,2011,TRUE,Clear,1,Tafawa Balewa lga,Tafawa-Balewa LGA,Bauchi state,Tafawa Balewa lga,9.82542,9.5824,143660,Nigeria,NGA,475,Africa,1,1,1
42053,NIG-2011-1-793-8,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42054,NIG-2011-1-793-9,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,3
42055,NIG-2011-1-793-10,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42056,NIG-2011-1-793-11,2011,TRUE,Clear,1,Biu town,"Biu, 200 kilometres (125 miles) south of Maiduguri",Borno state,Biu lga,10.61285,12.19458,145105,Nigeria,NGA,475,Africa,1,1,1
42057,NIG-2011-1-793-12,2011,TRUE,Clear,1,Darazo town,Darazo,Bauchi state,Darazo lga,10.99375,10.41179,145101,Nigeria,NGA,475,Africa,1,1,0
42058,NIG-2011-1-793-13,2011,TRUE,Clear,1,Gamboru-Maiduguri road,between Maiduguri and the border town of Gamboru Ngala,Borno state,,12.015044,13.832144,147268,Nigeria,NGA,475,Africa,1,1,0
42059,NIG-2011-1-793-14,2011,TRUE,Clear,1,Damaturu town,Damaturu town,Yobe state,Damaturu lga,11.747,11.9608,146544,Nigeria,NGA,475,Africa,1,1,5
42060,NIG-2011-1-793-15,2011,TRUE,Clear,1,Borno state,Borno state,Borno state,,11.5,13,146547,Nigeria,NGA,475,Africa,1,1,0
42061,NIG-2011-1-793-16,2011,TRUE,Clear,1,Borno state,Borno state,Borno state,,11.5,13,146547,Nigeria,NGA,475,Africa,1,1,0
42062,NIG-2011-1-793-17,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42052,NIG-2011-1-793-18,2011,TRUE,Clear,1,Kaduna town,Kaduna town (Rigasa area on Abuja Road),Kaduna state,,10.52224,7.43828,145095,Nigeria,NGA,475,Africa,1,1,2
42063,NIG-2011-1-793-19,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,3
42064,NIG-2011-1-793-20,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42065,NIG-2011-1-793-21,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
42066,NIG-2011-1-793-22,2011,TRUE,Clear,1,Maiduguri town,Maiduguri,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
42067,NIG-2011-1-793-23,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,2
42068,NIG-2011-1-793-24,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town (Gwange district),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,4
42070,NIG-2011-1-793-25,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,3
42069,NIG-2011-1-793-27,2011,TRUE,Clear,1,Bwari Area council,Bwari LGA,Federal Capital territory,Bwari Area council,9.218,7.408,142935,Nigeria,NGA,475,Africa,1,1,3
42072,NIG-2011-1-793-28,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
