school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address,status
Bankam Primary School,AD,Primary,Public,,,9.542129,12.285402,ADSSNG09,"Bankam Primary School, AD State, Nigeria",Unknown
Fwa Primary School Fwa,AD,Primary,Public,,,10.5829,13.23722,ADSMCH01,"Fwa Primary School Fwa, AD State, Nigeria",Unknown
Ponduwe II Primary School,AD,Primary,Public,,,9.724185,11.925165,ADSGUY08,"Ponduwe II Primary School, AD State, Nigeria",Unknown
St John Primary School,AD,Primary,Private,,,9.277246,12.463702,ADSYLN04,"St John Primary School, AD State, Nigeria",Unknown
Ilimi Nursery and Primary School,AD,Primary,Private,,,9.684621,11.999506,ADSSHG07,"Ilimi Nursery and Primary School, AD State, Nigeria",Unknown
Zangra Primary School,AD,Primary,Public,,,10.025728,12.44597,ADSGMB01,"Zangra Primary School, AD State, Nigeria",Open
Bonen Danki Primary School,AD,Primary,Public,,,8.298401,11.618374,ADSTNG01,"Bonen Danki Primary School, AD State, Nigeria",Unknown
Gwargwayel Afilliate Primary School,AD,Primary,Public,,,9.975696,12.335776,ADSGMB02,"Gwargwayel Afilliate Primary School, AD State, Nigeria",Unknown
Gang Audu Primary School,AD,Primary,Public,,,8.442749,12.108714,ADSGAN04,"Gang Audu Primary School, AD State, Nigeria",Unknown
Washi Primary Shcool,AD,Primary,Public,,,8.462565,11.709224,ADSTNG01,"Washi Primary Shcool, AD State, Nigeria",Unknown
Garin Tuwo,AD,Primary,Public,,,9.819217,12.576261,ADSSNG03,"Garin Tuwo, AD State, Nigeria",Unknown
Jang Primary School Michika,AD,Primary,Public,,,10.64111,13.379092,ADSMCH07,"Jang Primary School Michika, AD State, Nigeria",Unknown
Dingai Primary School,AD,Primary,Public,,,10.128257,12.339405,ADSGMB01,"Dingai Primary School, AD State, Nigeria",Open
Kubi Primary School,AD,Primary,Public,,,10.665583,13.303856,ADSMCH05,"Kubi Primary School, AD State, Nigeria",Open
Maliki Primary School,AD,Primary,Public,,,9.375028,12.093106,ADSDSA06,"Maliki Primary School, AD State, Nigeria",Open
Gangjamdi Primary School,AD,Primary,Public,,,8.477438,12.059083,ADSJAD01,"Gangjamdi Primary School, AD State, Nigeria",Open
Bajabu Primary School,AD,Primary,Public,,,8.667482,12.319306,ADSJAD11,"Bajabu Primary School, AD State, Nigeria",Unknown
Anwaru Islam,AD,Primary,Private,,,9.471026,12.029363,ADSNUM08,"Anwaru Islam, AD State, Nigeria",Unknown
Yembware Primary School,AD,Primary,Public,,,9.597223,11.490447,ADSLMR09,"Yembware Primary School, AD State, Nigeria",Unknown
Muchalla Primary School,AD,Primary,Public,,,10.124002,12.70833,ADSGMB09,"Muchalla Primary School, AD State, Nigeria",Open
Bangda Primary School,AD,Primary,Public,,,10.211858,12.211233,ADSSHG04,"Bangda Primary School, AD State, Nigeria",Unknown
Muni Primary School,AD,Primary,Public,,,10.605209,13.395112,ADSMCH09,"Muni Primary School, AD State, Nigeria",Open
Banner Christian Nursery and Primary School,AD,Primary,Public,,,9.233839,12.462202,ADSYLN04,"Banner Christian Nursery and Primary School, AD State, Nigeria",Unknown
Arnaddo Debbo Primary School,AD,Primary,Public,,,8.409062,12.058861,ADSGAN08,"Arnaddo Debbo Primary School, AD State, Nigeria",Unknown
Tudun Wada Primary School,AD,Primary,Public,,,10.5901,13.3491,ADSMCH04,"Tudun Wada Primary School, AD State, Nigeria",Unknown
Bongo Primary Song Bongo Gari,AD,Primary,Public,,,9.811307,12.615676,ADSSNG07,"Bongo Primary Song Bongo Gari, AD State, Nigeria",Unknown
Nassarawa Jerreng Primary School,AD,Primary,Public,,,8.962429,11.895116,ADSMWA06,"Nassarawa Jerreng Primary School, AD State, Nigeria",Unknown
Watu Primary School,AD,Primary,Public,,,10.607736,13.370585,ADSMCH05,"Watu Primary School, AD State, Nigeria",Open
Contentment Nursery and Primary School,AD,Primary,Private,,,10.243209,13.0230473,ADSHNG01,"Contentment Nursery and Primary School, AD State, Nigeria",Unknown
Daburum Primary School,AD,Primary,Public,,,8.609865,11.983878,ADSGAN10,"Daburum Primary School, AD State, Nigeria",Unknown
Nurul Ulum Academy,AD,Primary,Private,,,9.047526,12.054046,ADSMWA08,"Nurul Ulum Academy, AD State, Nigeria",Unknown
Mutuku Sida Primary School,AD,Primary,Public,,,10.315615,12.971619,ADSHNG01,"Mutuku Sida Primary School, AD State, Nigeria",Unknown
Dwam I Primary School,AD,Primary,Public,,,9.463382,12.089603,ADSDSA06,"Dwam I Primary School, AD State, Nigeria",Unknown
Parijo Primary School,AD,Primary,Public,,,10.283615,12.720699,ADSGMB08,"Parijo Primary School, AD State, Nigeria",Unknown
Hurkwene Primary School,AD,Primary,Public,,,10.061031,12.447439,ADSGMB01,"Hurkwene Primary School, AD State, Nigeria",Open
Nomadic Primary School Dongo Fulani,AD,Primary,Public,,,10.2326702,12.7192827,ADSGMB08,"Nomadic Primary School Dongo Fulani, AD State, Nigeria",Unknown
Tali Koma Primary School,AD,Primary,Public,,,8.7960122,12.4465403,ADSFUR05,"Tali Koma Primary School, AD State, Nigeria",Unknown
Sabana Primary School,AD,Primary,Public,,,9.322943,12.229719,ADSYLA11,"Sabana Primary School, AD State, Nigeria",Open
Majekin Primary School,AD,Primary,Public,,,10.033925,13.13391,ADSMAH05,"Majekin Primary School, AD State, Nigeria",Unknown
Zah Primary School,AD,Primary,Public,,,10.410593,12.743068,ADSHNG03,"Zah Primary School, AD State, Nigeria",Open
Gozefan Primary School,AD,Primary,Public,,,9.312566,11.601725,ADSNUM02,"Gozefan Primary School, AD State, Nigeria",Open
Wajah Islame Primary School,AD,Primary,Public,,,10.2356962,12.9196898,ADSHNG06,"Wajah Islame Primary School, AD State, Nigeria",Unknown
Bajaule Primary School,AD,Primary,Public,,,10.167274,13.225923,ADSGYL10,"Bajaule Primary School, AD State, Nigeria",Open
Basic Nursery and Primary School,AD,Primary,Private,,,9.295906,12.235752,ADSYLA09,"Basic Nursery and Primary School, AD State, Nigeria",Unknown
Kolwa Primary School,AD,Primary,Public,,,9.934198,13.176447,ADSMAH08,"Kolwa Primary School, AD State, Nigeria",Open
Sabewa Primary School,AD,Primary,Public,,,9.571547,12.070341,ADSDSA04,"Sabewa Primary School, AD State, Nigeria",Open
Dubai Nomadic School,AD,Primary,Public,,,10.117388,12.337911,ADSGMB01,"Dubai Nomadic School, AD State, Nigeria",Unknown
Bole I Primary School,AD,Primary,Public,,,9.122106,12.462805,ADSYLA03,"Bole I Primary School, AD State, Nigeria",Open
Kopali Primary School,AD,Primary,Public,,,10.47181,13.367589,ADSMUB07,"Kopali Primary School, AD State, Nigeria",Unknown
Federal Government College Staff Nursery and Primary School,AD,Primary,Private,,,8.461726,12.053775,ADSGAN04,"Federal Government College Staff Nursery and Primary School, AD State, Nigeria",Unknown
